last_name,first_name,player_age,handedness,position,mode_amateur_acquisition,division,b_total_pa,b_home_run,b_hr_rate,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_rbi,b_lob,b_gnd_into_dp,b_intent_walk,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,,,,
Altuve,Jose,31,R,2B,IFA,ALW,678,31,4.572271386,13.4,9.7,0.278,0.489,0.35,0.839,0.211,83,193,9,3,6,0.261,0.42,0.357,0.332,0.338,0.159,87.6,15.7,31.9,6.4,6.2,34.9,66.7,10,30.5,27.1,15.9,49.7,35.8,14.5,41,24.6,23.6,,,,
Hernandez,Cesar,31,S,2B,IFA,ALC,637,21,3.296703297,21.2,9.3,0.232,0.386,0.308,0.694,0.154,62,207,11,2,3,0.243,0.386,0.302,0.311,0.319,0.144,87.4,10.7,32.6,6.8,5,33.2,68.3,15.5,26.1,38.2,22,35.2,41.1,23.7,47.3,25.1,23.7,,,,
Segura,Jean,31,R,2B,IFA,NLE,567,14,2.469135802,13.8,6.9,0.29,0.436,0.347,0.783,0.146,58,200,16,3,4,0.266,0.396,0.338,0.319,0.328,0.13,87.2,5.8,31.1,5.9,5.4,37.4,66.6,11.4,30.2,30.2,17.1,30.2,41.5,28.3,52.4,19,22.7,,,,
Marte,Starling,33,R,CF,IFA,NLE,526,12,2.281368821,18.8,8.2,0.31,0.458,0.382,0.84,0.148,55,166,6,2,2,0.277,0.438,0.364,0.347,0.354,0.161,87.6,4.6,32.6,8.4,4.3,39.6,71,16,30.1,42.3,24.4,34.2,38.8,27,56.3,16.7,22.9,,,,
Donaldson,Josh,36,R,3B,C,ALC,543,26,4.788213628,21,13.6,0.247,0.475,0.352,0.827,0.228,72,181,22,2,8,0.269,0.542,0.353,0.388,0.372,0.273,94.1,14.6,30.2,17.4,4.8,52.7,70.2,22.5,22.6,42.1,27.6,42.5,35.9,21.7,43.9,28.5,20.5,,,,
Freeman,Freddie,32,L,1B,HS,NLE,695,31,4.460431655,15.4,12.2,0.3,0.503,0.393,0.896,0.203,83,202,11,15,2,0.32,0.583,0.379,0.416,0.41,0.263,91.4,12,37.2,11.5,7.1,46.1,77.5,17.2,25.6,32.3,21,36.2,37.8,26.1,43.2,28.9,25.1,,,,
LeMahieu,DJ,33,R,2B,C,ALE,679,10,1.47275405,13.8,10.8,0.268,0.362,0.349,0.711,0.094,57,215,16,2,5,0.283,0.397,0.315,0.34,0.366,0.114,90.6,5,33.3,3.7,6.9,43.5,61.8,9.8,20.5,28.1,14.4,23.4,40,36.6,52,18.3,26.8,,,,
Rizzo,Anthony,32,L,1B,HS,NLC,576,22,3.819444444,15.1,9,0.248,0.44,0.344,0.783,0.192,61,195,15,2,5,0.261,0.434,0.339,0.347,0.356,0.173,90.1,14.8,31.4,7.7,5.6,41.1,64.5,15.6,29.3,31.7,20.8,43.2,34.5,22.2,41.3,27.1,23.9,,,,
Stanton,Giancarlo,32,R,DH,HS,ALE,579,35,6.044905009,27.1,10.9,0.273,0.516,0.354,0.87,0.243,97,224,22,1,3,0.262,0.498,0.37,0.363,0.346,0.237,95.1,10.3,32.6,15.7,11,56.3,63.5,23.5,28,50.5,32.6,34.8,36,29.2,45.5,23,24.2,,,,
Perez,Salvador,31,R,C,IFA,ALC,665,48,7.218045113,25.6,4.2,0.273,0.544,0.316,0.859,0.271,121,278,14,4,4,0.276,0.566,0.359,0.374,0.321,0.29,93,15.9,34.1,16.3,8.6,56.2,78.6,20.8,44.6,50,33.7,42.7,35,22.2,37.4,33,23.6,,,,
Garcia,Avisail,30,R,RF,IFA,NLC,515,29,5.631067961,23.5,7.4,0.262,0.49,0.33,0.82,0.228,86,194,12,5,5,0.278,0.515,0.346,0.367,0.347,0.237,90.4,9.3,35.9,12.2,7,46.4,81.8,25.5,37.2,49.4,33.7,39.4,38.8,21.7,48.4,26.1,22,,,,
